Section,C1,L=1.0,L=1.5,L=2.0,L=2.5,L=3.0,L=3.5,L=4.0,L=5.0,L=6.0,L=7.0,L=8.0,L=9.0,L=10.0,L=11.0,L=12.0,L=13.0,L=14.0,Iy_cm4
533 x 165 x 66,1.35,429,429,411,370,331,295,263,209,169,140,122,108,96.3,87.3,79.9,73.7,68.4,35000
533 x 165 x 66,1.5,429,429,428,390,352,317,284,229,186,153,132,117,105,95,87,80.4,74.7,35000
533 x 165 x 66,1.77,429,429,429,419,385,351,319,261,215,178,150,132,119,108,99.3,91.9,85.5,35000
533 x 165 x 66,2,429,429,429,429,407,376,344,287,239,200,169,144,130,119,109,101,94.3,35000
533 x 165 x 66,2.5,429,429,429,429,429,419,391,337,287,245,210,181,157,140,129,120,112,35000
457 x 191 x 161,1,1000,1000,995,947,902,859,819,747,683,627,578,536,499,466,437,412,389,79800
457 x 191 x 161,1.13,1000,1000,1000,986,946,907,870,801,739,683,633,589,549,514,482,454,428,79800
457 x 191 x 161,1.35,1000,1000,1000,1000,1000,972,941,879,821,768,718,672,631,593,558,526,497,79800
457 x 191 x 161,1.5,1000,1000,1000,1000,1000,1000,979,923,869,818,770,725,683,644,608,575,544,79800
457 x 191 x 161,1.77,1000,1000,1000,1000,1000,1000,1000,989,942,896,851,808,768,729,692,658,626,79800
457 x 191 x 161,2,1000,1000,1000,1000,1000,1000,1000,1000,992,951,910,870,831,793,758,723,691,79800
457 x 191 x 161,2.5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,976,943,910,877,845,814,79800
457 x 191 x 133,1,814,814,801,758,718,679,642,575,517,468,426,391,360,335,312,292,275,63800
457 x 191 x 133,1.13,814,814,814,791,755,719,685,620,563,512,468,430,397,368,343,321,302,63800
457 x 191 x 133,1.35,814,814,814,814,805,775,745,686,631,581,536,496,459,427,398,373,349,63800
457 x 191 x 133,1.5,814,814,814,814,814,805,778,724,672,623,579,538,500,467,436,409,384,63800
457 x 191 x 133,1.77,814,814,814,814,814,814,814,781,735,690,647,607,569,534,502,473,445,63800
457 x 191 x 133,2,814,814,814,814,814,814,814,814,778,737,697,659,622,587,555,524,496,63800
457 x 191 x 133,2.5,814,814,814,814,814,814,814,814,814,814,785,752,719,687,655,625,597,63800
457 x 191 x 106,1,633,633,617,581,546,511,479,419,368,326,293,265,242,222,206,192,179,48900
457 x 191 x 106,1.13,633,633,633,608,576,544,513,454,403,359,322,291,266,244,226,211,198,48900
457 x 191 x 106,1.35,633,633,633,633,617,589,561,507,457,412,372,338,308,283,260,241,227,48900
457 x 191 x 106,1.5,633,633,633,633,633,614,589,538,489,445,404,369,338,310,286,265,246,48900
457 x 191 x 106,1.77,633,633,633,633,633,633,630,585,541,498,458,422,389,359,333,309,288,48900
457 x 191 x 106,2,633,633,633,633,633,633,633,618,578,537,499,463,430,399,372,346,323,48900
457 x 191 x 106,2.5,633,633,633,633,633,633,633,633,633,607,573,540,508,478,450,423,398,48900
457 x 191 x 98,1,591,591,575,541,507,474,443,385,337,297,265,239,218,200,185,172,161,45700
457 x 191 x 98,1.13,591,591,591,566,535,505,475,419,369,327,292,263,239,219,203,189,177,45700
457 x 191 x 98,1.35,591,591,591,591,574,547,521,468,419,376,338,306,278,254,233,217,204,45700
457 x 191 x 98,1.5,591,591,591,591,591,571,547,497,450,407,368,334,304,279,256,236,221,45700
457 x 191 x 98,1.77,591,591,591,591,591,591,585,542,498,457,418,383,351,323,298,276,256,45700
457 x 191 x 98,2,591,591,591,591,591,591,591,573,533,494,456,421,389,360,334,310,288,45700
457 x 191 x 98,2.5,591,591,591,591,591,591,591,591,591,559,526,494,463,433,406,380,357,45700
457 x 191 x 89,1,533,533,516,485,453,422,393,338,293,256,227,204,185,169,155,144,134,41000
457 x 191 x 89,1.13,533,533,533,508,479,450,422,368,321,282,250,224,202,185,171,159,149,41000
457 x 191 x 89,1.35,533,533,533,533,514,489,464,413,366,325,290,260,235,213,196,183,171,41000
457 x 191 x 89,1.5,533,533,533,533,533,511,487,440,394,353,316,285,258,234,214,198,186,41000
457 x 191 x 89,1.77,533,533,533,533,533,533,523,481,438,398,361,328,298,273,250,230,212,41000
457 x 191 x 89,2,533,533,533,533,533,533,533,509,470,432,396,362,332,305,281,259,239,41000
457 x 191 x 89,2.5,533,533,533,533,533,533,533,533,526,493,460,428,398,370,344,320,299,41000
457 x 191 x 82,1,503,503,483,452,420,389,359,305,261,226,199,177,159,145,133,123,114,37100
457 x 191 x 82,1.13,503,503,502,474,445,416,387,333,287,249,218,194,175,160,147,136,127,37100
457 x 191 x 82,1.35,503,503,503,503,480,454,428,376,329,288,254,225,201,183,169,157,147,37100
457 x 191 x 82,1.5,503,503,503,503,498,475,451,402,355,313,277,247,221,199,183,171,160,37100
457 x 191 x 82,1.77,503,503,503,503,503,503,486,442,397,356,319,286,257,233,211,193,181,37100
457 x 191 x 82,2,503,503,503,503,503,503,503,470,429,389,351,318,288,262,239,218,200,37100
457 x 191 x 82,2.5,503,503,503,503,503,503,503,503,483,448,413,380,349,321,296,273,252,37100
457 x 191 x 74,1,454,454,435,405,376,347,319,269,227,195,170,151,135,123,112,103,94.4,33300
457 x 191 x 74,1.13,454,454,452,426,399,372,345,294,250,215,187,166,149,136,124,115,107,33300
457 x 191 x 74,1.35,454,454,454,453,430,406,381,332,288,249,217,191,171,156,143,133,124,33300
457 x 191 x 74,1.5,454,454,454,454,447,425,402,356,311,272,238,210,187,169,156,144,135,33300
457 x 191 x 74,1.77,454,454,454,454,454,454,434,392,350,310,275,244,218,196,176,164,153,33300
457 x 191 x 74,2,454,454,454,454,454,454,454,418,378,339,304,272,245,220,199,181,168,33300
457 x 191 x 74,2.5,454,454,454,454,454,454,454,454,429,394,360,328,299,273,249,228,210,33300
457 x 191 x 67,1,404,404,385,358,331,304,278,231,194,165,143,125,112,101,91.5,82.9,75.7,29400
457 x 191 x 67,1.13,404,404,401,377,352,326,301,253,213,181,156,138,123,112,102,93.6,85.6,29400
457 x 191 x 67,1.35,404,404,404,401,380,357,334,288,246,210,181,158,142,129,118,109,101,29400
457 x 191 x 67,1.5,404,404,404,404,396,375,353,309,267,230,199,174,153,140,128,118,110,29400
457 x 191 x 67,1.77,404,404,404,404,404,401,382,342,301,263,231,202,179,159,146,135,126,29400
457 x 191 x 67,2,404,404,404,404,404,404,402,365,327,290,256,227,201,179,161,148,138,29400
457 x 191 x 67,2.5,404,404,404,404,404,404,404,404,373,339,306,276,248,224,203,184,167,29400
457 x 152 x 82,1,480,471,436,401,367,335,306,257,219,191,169,152,138,126,116,107,98.8,36600
457 x 152 x 82,1.13,480,480,456,424,392,362,333,282,242,210,185,167,152,139,129,120,112,36600
457 x 152 x 82,1.35,480,480,480,457,429,401,373,322,279,244,215,191,174,160,148,138,130,36600
457 x 152 x 82,1.5,480,480,480,475,449,423,397,347,304,267,236,210,189,174,161,151,141,36600
457 x 152 x 82,1.77,480,480,480,480,480,457,434,387,344,306,273,245,221,200,183,171,161,36600
457 x 152 x 82,2,480,480,480,480,480,480,459,417,375,337,304,274,248,225,206,188,177,36600
457 x 152 x 82,2.5,480,480,480,480,480,480,480,468,432,396,363,333,305,280,258,237,219,36600
457 x 152 x 74,1,432,423,390,357,325,295,267,222,188,162,143,127,115,105,95.8,87.6,80.7,32700
457 x 152 x 74,1.13,432,432,409,379,348,319,292,244,207,178,156,140,127,116,107,99,91.2,32700
457 x 152 x 74,1.35,432,432,432,409,382,355,328,280,239,207,181,161,146,134,124,115,108,32700
457 x 152 x 74,1.5,432,432,432,425,401,375,350,302,261,227,198,175,158,146,135,126,117,32700
457 x 152 x 74,1.77,432,432,432,432,428,407,384,339,297,261,231,205,183,165,153,143,134,32700
457 x 152 x 74,2,432,432,432,432,432,428,408,366,325,289,257,230,206,186,168,157,148,32700
457 x 152 x 74,2.5,432,432,432,432,432,432,432,413,377,343,310,281,256,233,212,194,178,32700
457 x 152 x 67,1,399,387,355,322,291,261,234,191,159,136,119,105,94.9,85,76.9,70.2,64.6,28900
457 x 152 x 67,1.13,399,399,373,343,313,284,256,210,175,149,131,116,105,95.6,86.9,79.3,73,28900
457 x 152 x 67,1.35,399,399,397,371,344,317,290,242,204,173,150,134,121,111,102,94.6,87.2,28900
457 x 152 x 67,1.5,399,399,399,387,362,337,311,263,223,190,164,145,132,121,111,103,96.4,28900
457 x 152 x 67,1.77,399,399,399,399,389,366,343,297,255,220,191,168,149,137,127,118,110,28900
457 x 152 x 67,2,399,399,399,399,399,387,366,322,281,245,215,189,167,150,140,130,122,28900
457 x 152 x 67,2.5,399,399,399,399,399,399,399,368,330,295,263,234,210,189,170,154,145,28900
457 x 152 x 60,1,355,343,313,283,254,226,202,162,133,113,97.9,86.4,76.3,68,61.3,55.9,51.4,25500
457 x 152 x 60,1.13,355,355,329,302,274,246,221,178,147,124,108,95.6,85.7,76.8,69.3,63.2,58.1,25500
457 x 152 x 60,1.35,355,355,351,327,302,276,251,206,170,143,124,110,99.3,90.3,82.8,75.5,69.4,25500
457 x 152 x 60,1.5,355,355,355,342,318,294,269,224,187,157,134,120,108,98.5,90.5,83.7,77.1,25500
457 x 152 x 60,1.77,355,355,355,355,343,321,298,254,215,183,156,136,123,112,104,96.1,89.6,25500
457 x 152 x 60,2,355,355,355,355,355,340,319,277,238,204,176,153,135,124,114,106,99.1,25500
457 x 152 x 60,2.5,355,355,355,355,355,355,355,319,282,248,217,191,169,150,135,126,118,25500
457 x 152 x 52,1,302,290,263,236,210,185,163,128,104,87.2,74.8,64.5,56.3,50,44.9,40.9,37.5,21400
457 x 152 x 52,1.13,302,301,277,252,227,202,179,141,114,96.1,82.8,72.6,63.6,56.5,50.8,46.2,42.3,21400
457 x 152 x 52,1.35,302,302,297,275,251,227,204,164,132,110,95.4,84.1,75.2,67.5,60.7,55.2,50.6,21400
457 x 152 x 52,1.5,302,302,302,287,266,243,220,179,145,120,104,91.5,82,74.3,67.4,61.3,56.2,21400
457 x 152 x 52,1.77,302,302,302,302,287,267,245,204,169,140,117,104,93.7,85.1,78.1,72.1,66.3,21400
457 x 152 x 52,2,302,302,302,302,302,284,264,224,188,157,133,114,103,93.9,86.3,79.8,74.3,21400
457 x 152 x 52,2.5,302,302,302,302,302,302,296,260,225,193,166,143,124,112,103,95.5,89.1,21400
406 x 178 x 85,1,458,458,440,413,386,360,336,291,255,225,201,182,166,153,141,132,123,31700
406 x 178 x 85,1.13,458,458,458,433,408,384,361,317,280,248,222,200,182,168,155,145,136,31700
406 x 178 x 85,1.35,458,458,458,458,439,418,397,356,318,285,257,233,212,194,178,166,156,31700
406 x 178 x 85,1.5,458,458,458,458,456,437,418,379,342,309,280,254,232,213,196,181,169,31700
406 x 178 x 85,1.77,458,458,458,458,458,458,448,414,380,348,319,292,268,247,228,211,196,31700
406 x 178 x 85,2,458,458,458,458,458,458,458,439,407,377,348,322,297,275,255,237,221,31700
406 x 178 x 85,2.5,458,458,458,458,458,458,458,458,455,429,403,378,354,332,311,292,274,31700
406 x 178 x 74,1,412,412,392,365,339,313,289,246,212,185,163,146,133,121,112,104,96.8,27300
406 x 178 x 74,1.13,412,412,408,384,360,336,312,269,233,204,180,161,146,134,123,115,107,27300
406 x 178 x 74,1.35,412,412,412,409,388,367,346,304,267,235,209,186,168,153,142,132,124,27300
406 x 178 x 74,1.5,412,412,412,412,404,385,365,326,289,256,228,205,184,167,154,143,135,27300
406 x 178 x 74,1.77,412,412,412,412,412,411,394,358,324,291,262,237,215,195,178,163,153,27300
406 x 178 x 74,2,412,412,412,412,412,412,412,382,349,318,289,263,240,219,201,185,170,27300
406 x 178 x 74,2.5,412,412,412,412,412,412,412,412,395,367,340,314,290,268,248,230,214,27300
406 x 178 x 67,1,371,371,350,326,301,277,254,214,182,157,138,123,111,101,92.6,85.4,78.5,24300
406 x 178 x 67,1.13,371,371,365,343,320,297,275,234,200,173,151,135,122,111,102,94.9,88.5,24300
406 x 178 x 67,1.35,371,371,371,366,346,326,305,266,230,201,176,156,140,128,118,110,102,24300
406 x 178 x 67,1.5,371,371,371,371,361,342,323,285,250,219,193,171,153,139,128,119,112,24300
406 x 178 x 67,1.77,371,371,371,371,371,367,350,315,281,250,222,199,178,161,146,135,127,24300
406 x 178 x 67,2,371,371,371,371,371,371,368,337,305,274,246,222,200,181,165,150,139,24300
406 x 178 x 67,2.5,371,371,371,371,371,371,371,371,347,319,292,267,245,224,206,189,174,24300
406 x 178 x 60,1,330,330,310,288,265,243,222,185,155,133,116,103,92,83.4,76.2,69.3,63.5,21600
406 x 178 x 60,1.13,330,330,324,303,282,261,240,202,171,146,127,113,101,92.2,84.6,78.1,71.8,21600
406 x 178 x 60,1.35,330,330,330,324,306,287,268,230,197,170,147,129,117,106,97.8,90.5,84.3,21600
406 x 178 x 60,1.5,330,330,330,330,319,302,284,247,214,186,162,142,126,115,106,98.6,92,21600
406 x 178 x 60,1.77,330,330,330,330,330,324,308,275,242,213,187,166,147,132,121,112,105,21600
406 x 178 x 60,2,330,330,330,330,330,330,325,294,263,234,208,185,166,149,134,123,115,21600
406 x 178 x 60,2.5,330,330,330,330,330,330,330,328,302,275,249,225,204,185,169,154,141,21600
406 x 178 x 54,1,289,289,270,249,229,208,189,155,129,109,94.3,82.9,73.9,66.6,59.7,54.2,49.6,18700
406 x 178 x 54,1.13,289,289,282,263,244,224,205,170,142,120,104,91.4,81.7,73.9,67.5,61.2,56,18700
406 x 178 x 54,1.35,289,289,289,282,265,247,229,194,164,139,119,105,94.2,85.5,78.3,72.2,67,18700
406 x 178 x 54,1.5,289,289,289,289,277,260,243,209,179,153,131,114,102,92.9,85.2,78.8,73.2,18700
406 x 178 x 54,1.77,289,289,289,289,289,280,265,234,203,176,153,133,117,105,97.1,90,83.9,18700
406 x 178 x 54,2,289,289,289,289,289,289,280,251,222,194,170,150,132,117,107,99,92.4,18700
406 x 178 x 54,2.5,289,289,289,289,289,289,289,282,256,230,206,184,164,147,133,120,110,18700
406 x 140 x 53,1,283,270,245,221,197,175,156,126,105,89.2,77.8,69,61.3,54.8,49.6,45.4,41.8,18300
406 x 140 x 53,1.13,283,281,259,236,213,191,171,139,115,98.1,85.8,76.3,68.8,62,56.1,51.3,47.2,18300
406 x 140 x 53,1.35,283,283,277,257,236,215,195,160,133,113,98.6,88.1,79.6,72.7,66.9,61.3,56.4,18300
406 x 140 x 53,1.5,283,283,283,269,249,229,210,175,146,124,107,95.6,86.7,79.3,73.1,67.8,62.7,18300
406 x 140 x 53,1.77,283,283,283,283,269,251,233,199,169,144,124,108,98.6,90.5,83.6,77.7,72.7,18300
406 x 140 x 53,2,283,283,283,283,283,267,250,217,187,161,140,122,108,99.4,92.1,85.8,80.3,18300
406 x 140 x 53,2.5,283,283,283,283,283,283,280,251,222,196,173,153,136,121,109,102,95.8,18300
406 x 140 x 46,1,244,232,210,187,166,146,129,102,83.9,70.8,61.2,53.3,46.8,41.7,37.7,34.4,31.6,15700
406 x 140 x 46,1.13,244,241,221,200,180,160,142,113,92,78,67.7,59.7,52.9,47.1,42.6,38.8,35.7,15700
406 x 140 x 46,1.35,244,244,237,219,200,180,162,131,107,89.4,78,69.2,62.2,56.3,50.9,46.4,42.6,15700
406 x 140 x 46,1.5,244,244,244,229,211,193,175,143,117,97.3,84.6,75.3,67.8,61.7,56.5,51.5,47.4,15700
406 x 140 x 46,1.77,244,244,244,244,229,212,195,163,136,114,96.3,85.6,77.4,70.6,65,60.2,55.9,15700
406 x 140 x 46,2,244,244,244,244,241,226,210,179,151,128,109,93.8,85.1,77.8,71.8,66.6,62.2,15700
406 x 140 x 46,2.5,244,244,244,244,244,244,237,209,181,157,136,118,104,92.3,85.5,79.6,74.5,15700
406 x 140 x 39,1,199,186,167,148,129,112,97.4,75.5,60.8,50.5,42.6,36.4,31.7,28.2,25.3,23,21.1,12500
406 x 140 x 39,1.13,199,194,177,159,140,123,107,83,66.9,55.9,47.9,41.1,35.9,31.8,28.6,26,23.9,12500
406 x 140 x 39,1.35,199,199,190,174,157,140,123,96.4,76.5,64.4,55.5,48.7,42.8,38,34.2,31.1,28.5,12500
406 x 140 x 39,1.5,199,199,198,183,167,150,134,106,84,69.8,60.4,53.1,47.5,42.3,38,34.5,31.7,12500
406 x 140 x 39,1.77,199,199,199,196,182,166,151,122,98,79.7,68.7,60.7,54.4,49.3,44.8,40.8,37.4,12500
406 x 140 x 39,2,199,199,199,199,192,178,163,134,110,90.1,75.3,66.9,60.1,54.6,50,46,42.2,12500
406 x 140 x 39,2.5,199,199,199,199,199,198,186,159,134,112,94.5,80.1,71.4,65.2,60,55.5,51.7,12500
356 x 171 x 67,1,333,333,315,294,273,253,234,202,175,154,137,124,113,103,95.6,89,83.2,19500
356 x 171 x 67,1.13,333,333,328,309,290,271,253,220,192,170,151,136,124,114,105,98.2,92,19500
356 x 171 x 67,1.35,333,333,333,329,313,296,280,248,220,196,175,158,143,130,121,113,106,19500
356 x 171 x 67,1.5,333,333,333,333,326,311,295,265,238,213,191,173,157,143,131,122,115,19500
356 x 171 x 67,1.77,333,333,333,333,333,332,319,292,265,241,219,200,182,167,153,142,131,19500
356 x 171 x 67,2,333,333,333,333,333,333,333,310,286,263,241,221,203,187,172,160,148,19500
356 x 171 x 67,2.5,333,333,333,333,333,333,333,333,322,301,281,262,244,227,212,198,185,19500
356 x 171 x 57,1,278,278,261,242,223,205,188,159,135,117,103,92.4,83.5,76.2,70.2,65,59.8,16000
356 x 171 x 57,1.13,278,278,272,255,238,220,204,174,149,129,114,101,92,84.1,77.6,72,67.2,16000
356 x 171 x 57,1.35,278,278,278,272,258,242,227,198,172,150,132,117,105,96.7,89.4,83.2,77.8,16000
356 x 171 x 57,1.5,278,278,278,278,269,255,240,212,186,164,145,129,115,105,97,90.4,84.7,16000
356 x 171 x 57,1.77,278,278,278,278,278,273,260,235,210,187,167,150,135,122,111,103,96.3,16000
356 x 171 x 57,2,278,278,278,278,278,278,274,251,227,205,185,167,151,137,125,114,106,16000
356 x 171 x 57,2.5,278,278,278,278,278,278,278,278,259,239,219,201,184,169,156,144,133,16000
356 x 171 x 51,1,246,246,230,213,196,179,163,136,114,98.2,85.9,76.2,68.6,62.3,57,51.9,47.7,14100
356 x 171 x 51,1.13,246,246,240,224,208,192,177,149,126,108,94.1,83.9,75.6,68.9,63.3,58.6,53.9,14100
356 x 171 x 51,1.35,246,246,246,240,226,212,197,170,145,125,109,96,86.8,79.4,73.1,67.8,63.3,14100
356 x 171 x 51,1.5,246,246,246,246,236,223,209,183,158,137,120,106,94,86.1,79.5,73.9,69,14100
356 x 171 x 51,1.77,246,246,246,246,246,240,228,203,179,158,139,123,110,98.2,90.3,84.1,78.7,14100
356 x 171 x 51,2,246,246,246,246,246,246,241,218,195,174,154,138,123,111,100,92.2,86.5,14100
356 x 171 x 51,2.5,246,246,246,246,246,246,246,243,224,204,185,168,152,138,126,115,106,14100
356 x 171 x 45,1,213,213,197,182,166,151,136,112,92.9,78.8,68.2,60.1,53.7,48.3,43.4,39.5,36.2,12100
356 x 171 x 45,1.13,213,213,206,192,177,163,148,123,102,86.5,75,66.3,59.4,53.8,49.1,44.6,40.9,12100
356 x 171 x 45,1.35,213,213,213,206,193,180,166,141,118,101,86.2,76.1,68.5,62.3,57.1,52.7,48.8,12100
356 x 171 x 45,1.5,213,213,213,213,202,190,177,152,129,110,94.8,82.3,74.3,67.7,62.2,57.5,53.5,12100
356 x 171 x 45,1.77,213,213,213,213,213,205,193,170,147,127,110,96.3,84.7,76.9,70.9,65.7,61.3,12100
356 x 171 x 45,2,213,213,213,213,213,213,205,183,161,141,123,108,95.7,85,77.8,72.3,67.6,12100
356 x 171 x 45,2.5,213,213,213,213,213,213,213,206,186,167,149,133,119,107,96.4,87.1,80.2,12100
356 x 127 x 39,1,181,166,148,130,113,99,87.1,69.4,57.3,48.8,42.5,36.9,32.7,29.3,26.6,24.3,22.4,10200
356 x 127 x 39,1.13,181,174,157,140,123,109,96,76.2,63,53.9,47.1,41.7,36.9,33.1,30,27.5,25.4,10200
356 x 127 x 39,1.35,181,181,170,154,139,124,111,88.6,72.3,61.9,54.4,48.5,43.8,39.5,35.9,32.8,30.3,10200
356 x 127 x 39,1.5,181,181,177,163,148,133,120,97,79.5,67.1,59.1,52.9,47.8,43.7,39.9,36.5,33.7,10200
356 x 127 x 39,1.77,181,181,181,175,162,148,135,112,92.6,77.7,67.1,60.2,54.7,50.1,46.3,43,39.7,10200
356 x 127 x 39,2,181,181,181,181,172,159,147,123,104,87.6,74.8,66.1,60.2,55.3,51.1,47.6,44.5,10200
356 x 127 x 39,2.5,181,181,181,181,181,178,168,146,126,108,94,81.9,71.9,65.7,61,57,53.4,10200
356 x 127 x 33,1,149,135,119,103,88.6,76.3,66.3,51.6,41.9,35.3,29.7,25.6,22.6,20.2,18.3,16.7,15.3,8250
356 x 127 x 33,1.13,149,141,127,111,96.9,84,73,56.6,46.3,39,33.6,29,25.5,22.8,20.6,18.8,17.3,8250
356 x 127 x 33,1.35,149,149,137,124,110,96.3,84.4,65.6,53.1,45.1,39.2,34.6,30.5,27.2,24.6,22.5,20.7,8250
356 x 127 x 33,1.5,149,149,144,131,117,104,92,72,57.4,49,42.7,37.9,33.9,30.3,27.4,25,23,8250
356 x 127 x 33,1.77,149,149,149,141,129,117,105,83.5,67.1,55.6,48.7,43.4,39.1,35.6,32.3,29.5,27.2,8250
356 x 127 x 33,2,149,149,149,149,138,126,114,92.9,75.5,62.1,53.5,47.8,43.2,39.4,36.3,33.3,30.7,8250
356 x 127 x 33,2.5,149,149,149,149,149,142,132,111,93.1,78,65.8,56.6,51.5,47.2,43.5,40.5,37.8,8250
305 x 165 x 54,1,233,233,223,211,200,188,176,153,134,118,105,94,85.1,76.4,69.3,63.5,58.5,11700
305 x 165 x 54,1.13,233,233,231,221,211,200,189,167,147,130,115,104,94,86.3,78.3,71.7,66.2,11700
305 x 165 x 54,1.35,233,233,233,233,226,217,207,187,167,150,134,121,109,99.3,92.1,85.7,79,11700
305 x 165 x 54,1.5,233,233,233,233,233,226,217,199,180,162,146,132,120,109,100,93.3,87.6,11700
305 x 165 x 54,1.77,233,233,233,233,233,233,233,217,200,183,167,153,140,128,117,108,99.9,11700
305 x 165 x 54,2,233,233,233,233,233,233,233,229,214,199,183,169,155,143,132,122,113,11700
305 x 165 x 54,2.5,233,233,233,233,233,233,233,233,233,226,212,199,186,174,163,152,142,11700
305 x 165 x 46,1,198,198,189,179,168,157,146,125,107,92.7,81.6,72.5,63.9,57.1,51.7,47.3,43.5,9900
305 x 165 x 46,1.13,198,198,196,187,178,167,157,136,118,102,89.8,80.1,72.2,64.6,58.4,53.4,49.2,9900
305 x 165 x 46,1.35,198,198,198,198,191,182,173,154,135,119,105,93,83.3,76.4,69.8,63.8,58.8,9900
305 x 165 x 46,1.5,198,198,198,198,198,190,182,164,146,129,115,102,91.7,82.9,76.8,70.9,65.3,9900
305 x 165 x 46,1.77,198,198,198,198,198,198,195,180,163,147,132,119,107,97.1,88.2,81.4,76.3,9900
305 x 165 x 46,2,198,198,198,198,198,198,198,191,176,161,146,132,120,109,99.9,91.4,83.9,9900
305 x 165 x 46,2.5,198,198,198,198,198,198,198,198,198,185,172,159,146,135,125,115,106,9900
305 x 165 x 40,1,171,171,163,153,144,133,123,103,87,74.5,64.9,56,49.2,43.8,39.6,36.1,33.2,8500
305 x 165 x 40,1.13,171,171,169,161,152,142,132,113,95.9,82.2,71.4,63.3,55.6,49.5,44.7,40.8,37.5,8500
305 x 165 x 40,1.35,171,171,171,171,164,155,147,128,111,95.6,83.1,72.9,65.8,59.2,53.4,48.7,44.8,8500
305 x 165 x 40,1.5,171,171,171,171,170,163,155,137,120,105,91.4,80.3,71.5,65.3,59.3,54.1,49.7,8500
305 x 165 x 40,1.77,171,171,171,171,171,171,167,152,135,120,106,93.9,83.6,74.8,68.7,63.8,58.7,8500
305 x 165 x 40,2,171,171,171,171,171,171,171,162,147,132,118,105,94.3,84.7,76.4,70.2,65.8,8500
305 x 165 x 40,2.5,171,171,171,171,171,171,171,171,167,154,140,128,116,106,96.5,88.2,80.7,8500
305 x 127 x 48,1,196,182,165,149,134,121,110,92,79,69.2,61.6,55.5,50.5,46.4,42.4,39,36.1,9570
305 x 127 x 48,1.13,196,190,174,159,145,132,120,101,87,75.8,67.7,61.2,55.9,51.4,47.6,44.1,40.8,9570
305 x 127 x 48,1.35,196,196,187,174,161,149,137,117,101,88,77.6,70.2,64.3,59.4,55.1,51.5,48.3,9570
305 x 127 x 48,1.5,196,196,195,183,170,158,147,127,110,96.6,85.4,76,69.7,64.5,60,56.1,52.7,9570
305 x 127 x 48,1.77,196,196,196,195,184,174,163,144,126,112,99.5,89,80,73.1,68.2,64,60.2,9570
305 x 127 x 48,2,196,196,196,196,194,184,175,156,139,124,111,100,90.3,81.8,74.8,70.2,66.2,9570
305 x 127 x 48,2.5,196,196,196,196,196,196,195,179,163,148,135,123,112,103,94.2,86.5,79.7,9570
305 x 127 x 42,1,169,156,140,125,111,99.5,89.3,73.6,62.4,54.2,47.9,43,38.9,35.1,32,29.4,27.2,8200
305 x 127 x 42,1.13,169,163,148,134,121,109,98.2,81.1,68.6,59.6,52.9,47.5,43.2,39.7,36.1,33.2,30.7,8200
305 x 127 x 42,1.35,169,169,160,147,135,123,112,93.9,79.6,68.5,60.7,54.8,50,46,42.6,39.6,36.7,8200
305 x 127 x 42,1.5,169,169,166,155,143,132,121,102,87.3,75.3,65.7,59.4,54.3,50,46.4,43.3,40.6,8200
305 x 127 x 42,1.77,169,169,169,166,156,145,135,117,101,87.7,76.9,67.9,61.7,57,53,49.5,46.5,8200
305 x 127 x 42,2,169,169,169,169,165,155,146,128,112,97.9,86.4,76.7,68.4,62.5,58.3,54.6,51.3,8200
305 x 127 x 42,2.5,169,169,169,169,169,169,164,148,133,119,106,95.6,86.1,77.9,70.7,64.7,61,8200
305 x 127 x 37,1,148,136,121,108,94.9,84,74.7,60.7,51,43.9,38.6,34.5,30.6,27.6,25.1,23,21.3,7170
305 x 127 x 37,1.13,148,142,129,116,103,92,82.2,66.9,55.9,48.4,42.7,38.2,34.6,31.1,28.3,26,24,7170
305 x 127 x 37,1.35,148,148,139,128,116,105,94.4,77.6,64.8,55.4,49.1,44.2,40.1,36.8,33.8,31.1,28.7,7170
305 x 127 x 37,1.5,148,148,145,134,123,112,102,84.7,71.1,60.5,53.3,48,43.7,40.1,37.1,34.5,31.9,7170
305 x 127 x 37,1.77,148,148,148,144,134,124,115,97,82.5,70.7,61.2,54.5,49.8,45.9,42.5,39.6,37.1,7170
305 x 127 x 37,2,148,148,148,148,142,133,124,107,91.8,79.3,69.1,60.6,54.6,50.5,46.9,43.8,41.1,7170
305 x 127 x 37,2.5,148,148,148,148,148,148,140,125,110,97.1,85.9,76.2,67.9,60.8,55.6,52.1,49.1,7170
305 x 102 x 33,1,128,112,96.6,82.4,70.7,61.3,53.8,43.2,36.1,31,26.6,23.4,20.8,18.8,17.1,15.7,14.6,6500
305 x 102 x 33,1.13,132,119,104,89.8,77.6,67.5,59.3,47.4,39.8,34.3,30.1,26.4,23.5,21.2,19.3,17.8,16.4,6500
305 x 102 x 33,1.35,132,127,114,101,88.7,77.9,68.8,54.7,45.8,39.7,35.1,31.4,28.1,25.4,23.1,21.2,19.6,6500
305 x 102 x 33,1.5,132,132,120,108,95.6,84.7,75.2,60.1,49.5,43.1,38.2,34.3,31.2,28.2,25.7,23.6,21.8,6500
305 x 102 x 33,1.77,132,132,129,118,107,95.9,86.1,69.9,57.5,48.9,43.6,39.3,35.8,32.9,30.3,27.8,25.8,6500
305 x 102 x 33,2,132,132,132,125,115,104,94.7,78,64.8,54.5,47.8,43.3,39.5,36.3,33.7,31.4,29.1,6500
